step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
747,0.06054,0.98261,,
748,0.00013,1.0,,
749,8e-05,1.0,,
750,1e-05,1.0,,
751,2e-05,1.0,,
752,0.06206,0.99145,,
753,0.01007,0.9913,,
754,0.05273,0.99123,,
755,0.0853,0.99115,,
756,2e-05,1.0,,
757,4e-05,1.0,,
758,0.00013,1.0,,
759,0.00012,1.0,,
760,0.0753,0.99115,,
761,0.0,1.0,,
762,0.02472,0.99091,,
763,5e-05,1.0,,
764,2e-05,1.0,,
765,0.00014,1.0,,
766,1e-05,1.0,,
767,0.05503,0.99138,,
768,0.13925,0.98214,,
769,9e-05,1.0,,
770,0.0004,1.0,,
771,0.00244,1.0,,
772,2e-05,1.0,,
773,0.00015,1.0,,
774,0.00185,1.0,,
775,1e-05,1.0,,
776,6e-05,1.0,,
777,0.0856,0.99099,,
778,2e-05,1.0,,
779,0.00819,0.99115,,
780,0.00042,1.0,,
781,0.147,0.99115,,
782,0.0002,1.0,,
783,0.08617,0.98131,,
784,0.00051,1.0,,
785,0.00072,1.0,,
786,0.06183,0.98182,,
787,0.0002,1.0,,
788,0.06484,0.99138,,
789,0.0005,1.0,,
790,0.09739,0.98276,,
791,0.07646,0.99074,,
792,0.00046,1.0,,
793,2e-05,1.0,,
794,0.00045,1.0,,
795,5e-05,1.0,,
796,0.00191,1.0,,
797,2e-05,1.0,,
798,0.00029,1.0,,
799,0.0002,1.0,,
800,7e-05,1.0,4e-05,1.0
801,0.08711,0.97368,,
802,2e-05,1.0,,
803,5e-05,1.0,,
804,8e-05,1.0,,
805,6e-05,1.0,,
806,4e-05,1.0,,
807,0.001,1.0,,
808,0.01386,0.99107,,
809,4e-05,1.0,,
810,3e-05,1.0,,
811,0.07549,0.99099,,
812,0.00057,1.0,,
813,0.05972,0.99083,,
814,0.04802,0.99065,,
815,0.00011,1.0,,
816,0.06666,0.99065,,
817,0.1185,0.98131,,
818,4e-05,1.0,,
819,0.01245,0.99145,,
820,0.02801,0.99074,,
821,4e-05,1.0,,
822,5e-05,1.0,,
823,1e-05,1.0,,
824,0.05795,0.99074,,
825,0.00033,1.0,,
826,0.02682,0.99048,,
827,0.00335,1.0,,
828,0.00023,1.0,,
829,0.00046,1.0,,
830,2e-05,1.0,,
831,0.05109,0.99099,,
832,0.00063,1.0,,
833,0.00021,1.0,,
834,0.01033,0.99174,,
835,0.00056,1.0,,
836,0.00015,1.0,,
837,0.00192,1.0,,
838,0.00054,1.0,,
839,0.00051,1.0,,
840,0.0003,1.0,,
841,0.0002,1.0,,
842,0.05226,0.99074,,
843,0.02708,0.99099,,
844,0.00068,1.0,,
845,0.01737,0.99099,,
846,0.00027,1.0,,
847,0.0001,1.0,,
848,0.00281,1.0,,
849,0.00012,1.0,,
850,8e-05,1.0,,
851,0.00021,1.0,,
852,0.03699,0.99138,,
853,5e-05,1.0,,
854,0.00016,1.0,,
855,0.00046,1.0,,
856,7e-05,1.0,,
857,0.00234,1.0,,
858,5e-05,1.0,,
859,0.06432,0.99048,,
860,0.00079,1.0,,
861,0.11711,0.98305,,
862,0.08796,0.98214,,
863,9e-05,1.0,,
864,0.00065,1.0,,
865,0.0006,1.0,,
866,6e-05,1.0,,
867,1e-05,1.0,,
868,1e-05,1.0,,
869,2e-05,1.0,,
870,2e-05,1.0,,
871,0.00032,1.0,,
872,0.00013,1.0,,
873,0.10132,0.98214,,
874,0.0067,1.0,,
875,0.00034,1.0,,
876,0.00071,1.0,,
877,5e-05,1.0,,
878,4e-05,1.0,,
879,0.0761,0.99065,,
880,5e-05,1.0,,
881,0.0002,1.0,,
882,0.00012,1.0,,
883,0.05616,0.99123,,
884,0.00014,1.0,,
885,9e-05,1.0,,
886,0.01246,0.99091,,
887,0.00011,1.0,,
888,0.0002,1.0,,
889,0.00021,1.0,,
890,0.05406,0.99138,,
891,0.11211,0.98246,,
892,0.00024,1.0,,
893,0.06344,0.99115,,
894,0.00021,1.0,,
895,0.00017,1.0,,
896,0.07135,0.9913,,
897,0.00019,1.0,,
898,7e-05,1.0,,
899,0.00021,1.0,,
900,0.0001,1.0,0.00013,1.0
901,0.05424,0.99167,,
902,0.08054,0.99107,,
903,0.00016,1.0,,
904,3e-05,1.0,,
905,0.03795,0.99138,,
906,8e-05,1.0,,
907,6e-05,1.0,,
908,0.07558,0.99138,,
909,8e-05,1.0,,
910,5e-05,1.0,,
911,0.00023,1.0,,
912,0.00035,1.0,,
913,9e-05,1.0,,
914,0.00013,1.0,,
915,0.10289,0.99091,,
916,5e-05,1.0,,
917,4e-05,1.0,,
918,0.01835,0.99115,,
919,0.00031,1.0,,
920,0.00059,1.0,,
921,0.0001,1.0,,
922,9e-05,1.0,,
923,6e-05,1.0,,
